VEGETASI;VEGETASI_Standar;S_VE
Vegetasi hutan batugamping monsun pegunungan pada bentang alam karst;Vegetasi hutan batugamping pegunungan monsun pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan pada bentang alam karst;Vegetasi hutan batugamping pegunungan pada bentang alam karst;2
Vegetasi hutan batugamping pegunungan subalpin;Vegetasi hutan batugamping pegunungan subalpin;1
Vegetasi hutan batugamping pegunungan subalpin pada bentang alam karst;Vegetasi hutan batugamping pegunungan subalpin monsun pada bentang alam karst;1
Vegetasi hutan batugamping monsun pegunungan subalpin pada bentang alam karst;Vegetasi hutan batugamping pegunungan subalpin pada bentang alam karst;1
Vegetasi hutan danau;Vegetasi hutan danau;4
Vegetasi hutan danau gambut;Vegetasi hutan danau gambut;3
Vegetasi hutan dipterokarpa pamah;Vegetasi hutan dipterokarpa pamah;5
Vegetasi hutan gambut;Vegetasi hutan gambut;3
Vegetasi hutan kerangas;Vegetasi hutan kerangas;3
Vegetasi hutan kerangas pamah;Vegetasi hutan kerangas;3
Vegetasi hutan kerangas pamah monsun;Vegetasi hutan kerangas monsun;2
Vegetasi hutan pamah (non dipterokarpa);Vegetasi hutan pamah (non dipterokarpa);5
Vegetasi hutan pamah monsun malar hijau;Vegetasi hutan pamah monsun malar hijau;4
Vegetasi hutan pamah monsun merangas;Vegetasi hutan pamah monsun merangas;3
Vegetasi hutan pantai;Vegetasi hutan pantai;4
Vegetasi hutan pantai monsun;Vegetasi hutan pantai monsun;2
Vegetasi hutan pegunungan atas;Vegetasi hutan pegunungan atas;1
Vegetasi hutan pegunungan atas monsun;Vegetasi hutan pegunungan atas monsun;1
Vegetasi hutan pegunungan bawah;Vegetasi hutan pegunungan bawah;2
Vegetasi hutan pegunungan bawah monsun (monsoon lower mountain forest);Vegetasi hutan pegunungan bawah monsun;1
Vegetasi hutan pegunungan meranggas pada bukit tinggi (deciduous forest on higher hills);Vegetasi hutan pegunungan meranggas pada bukit tinggi;1
Vegetasi hutan pegunungan subalpin;Vegetasi hutan pegunungan subalpin;1
Vegetasi hutan pegunungan subalpin monsun;Vegetasi hutan pegunungan subalpin monsun;1
Vegetasi hutan rawa air payau;Vegetasi hutan rawa air payau;2
Vegetasi hutan rawa air payau pada bentang alam karst;Vegetasi hutan rawa air payau;2
Vegetasi hutan rawa air payau monsun pada bentang alam karst;Vegetasi hutan rawa air payau monsun;2
Vegetasi hutan rawa air tawar;Vegetasi hutan rawa air tawar;4
Vegetasi hutan rawa air tawar monsun;Vegetasi hutan rawa air tawar monsun;3
Vegetasi hutan rawa air tawar monsun pada bentang alam karst;Vegetasi hutan rawa air tawar monsun;3
Vegetasi hutan rawa air tawar pada bentang alam karst;Vegetasi hutan rawa air tawar;4
Vegetasi hutan tepian sungai payau;Vegetasi hutan tepian sungai air payau;2
Vegetasi hutan tepian sungai;Vegetasi hutan tepian sungai air tawar;2
Vegetasi hutan tepian sungai malar hijau;Vegetasi hutan tepian sungai air tawar monsun malar hijau;3
Vegetasi hutan monsun tepian sungai malar hijau;Vegetasi hutan tepian sungai air tawar monsun malar hijau;3
Vegetasi litoral;Vegetasi litoral;1
Vegetasi mangrove;Vegetasi mangrove;3
Vegetasi mangrove monsun;Vegetasi mangrove monsun;4
Vegetasi nipah;Vegetasi nipah;3
Vegetasi nipah monsun;Vegetasi nipah monsun;3
Vegetasi padang rumput lahan kering pamah;Vegetasi padang rumput lahan kering pamah;3
Vegetasi padang rumput monsun pamah;Vegetasi padang rumput pamah monsun;2
Vegetasi padang rumput rawa air payau;Vegetasi padang rumput rawa air payau;2
Vegetasi padang rumput rawa air payau monsun;Vegetasi padang rumput rawa air payau monsun;2
Vegetasi padang rumput rawa air tawar;Vegetasi padang rumput rawa air tawar;3
Vegetasi padang rumput rawa air tawar monsun;Vegetasi padang rumput rawa air tawar monsun;3
Vegetasi padang rumput tepian sungai payau;Vegetasi padang rumput tepian sungai air payau;2
Vegetasi sagu;Vegetasi sagu;3
Vegetasi sagu monsun;Vegetasi sagu monsun;4
Vegetasi salju batugamping pegunungan alpin;Vegetasi salju batugamping pegunungan alpin;1
Vegetasi savana lahan kering pamah;Vegetasi savana lahan kering pamah;2
Vegetasi savana monsun pamah;Vegetasi savana pamah monsun;3
Vegetasi savana pegunungan monsun;Vegetasi savana pegunungan monsun;1
Vegetasi savana rawa air payau;Vegetasi savana rawa air payau;2
Vegetasi savana rawa air tawar;Vegetasi savana rawa air tawar;3
Vegetasi savana rawa gambut pamah;Vegetasi savana rawa gambut;2
Vegetasi padang rumput rawa gambut pamah;Vegetasi savana rawa gambut;2
Vegetasi terna danau gambut pegunungan;Vegetasi savana tepian danau;3
Vegetasi hutan savana sekitar danau;Vegetasi savana rawa air tawar;3
Vegetasi terna rawa air payau;Vegetasi terna rawa air payau;2
Vegetasi terna rawa air payau pada bentang alam karst;Vegetasi terna rawa air payau;2
Vegetasi terna rawa payau monsun;Vegetasi terna rawa air payau monsun;2
Vegetasi terna rawa air payau monsun pada bentang alam karst;Vegetasi terna rawa air payau monsun;2
Vegetasi terna rawa air tawar;Vegetasi terna rawa air tawar;3
Vegetasi terna rawa air tawar monsun;Vegetasi terna rawa air tawar monsun;2
Vegetasi terna rawa air tawar monsun pada bentang alam karst;Vegetasi terna rawa air tawar monsun;2
Vegetasi terna rawa monsun;Vegetasi terna rawa air tawar monsun;2
Vegetasi terna rawa gambut;Vegetasi terna rawa gambut;2
Vegetasi terna savana rawa gambut;Vegetasi terna savana rawa gambut;2
Vegetasi terna tepian danau;Vegetasi terna tepian danau;2
Vegetasi terna tepian danau pegunungan;Vegetasi terna tepian danau;2
Vegetasi terna tepian sungai payau;Vegetasi terna tepian sungai air payau;2
Vegetasi terna tepian sungai;Vegetasi terna tepian sungai air tawar;2
