VEGETASI;VEGETASI_Standar;S_VE
Vegetasi hutan tepian sungai payau;Vegetasi hutan tepian sungai air payau;2.388814
Vegetasi hutan tepian sungai;Vegetasi hutan tepian sungai air tawar;3.528375
Vegetasi hutan tepian sungai malar hijau;Vegetasi hutan tepian sungai air tawar monsun malar hijau;3.939061
Vegetasi hutan monsun tepian sungai malar hijau;Vegetasi hutan tepian sungai air tawar monsun malar hijau;3.939061
Vegetasi litoral;Vegetasi litoral;1
Vegetasi mangrove;Vegetasi mangrove;3.574007
Vegetasi mangrove monsun;Vegetasi mangrove monsun;3.887726
Vegetasi nipah;Vegetasi nipah;3.619639
Vegetasi nipah monsun;Vegetasi nipah monsun;3.745126
Vegetasi padang rumput lahan kering pamah;Vegetasi padang rumput lahan kering pamah;3.124068
Vegetasi padang rumput monsun pamah;Vegetasi padang rumput pamah monsun;1.959915
Vegetasi padang rumput rawa air payau;Vegetasi padang rumput rawa air payau;1.837373
Vegetasi padang rumput rawa air payau monsun;Vegetasi padang rumput rawa air payau monsun;1.776102
Vegetasi padang rumput rawa air tawar;Vegetasi padang rumput rawa air tawar;2.981102
Vegetasi padang rumput rawa air tawar monsun;Vegetasi padang rumput rawa air tawar monsun;3.24661
Vegetasi padang rumput tepian sungai payau;Vegetasi padang rumput tepian sungai air payau;1.816949
Vegetasi sagu;Vegetasi sagu;3.437112
Vegetasi sagu monsun;Vegetasi sagu monsun;3.927653
Vegetasi salju batugamping pegunungan alpin;Vegetasi salju batugamping pegunungan alpin;1.980339
Vegetasi savana lahan kering pamah;Vegetasi savana lahan kering pamah;2.205
Vegetasi savana monsun pamah;Vegetasi savana pamah monsun;2.940254
Vegetasi savana pegunungan monsun;Vegetasi savana pegunungan monsun;2.021186
Vegetasi savana rawa air payau;Vegetasi savana rawa air payau;1.959915
Vegetasi savana rawa air tawar;Vegetasi savana rawa air tawar;3.465632
Vegetasi savana rawa gambut pamah;Vegetasi savana rawa gambut;2.552203
Vegetasi padang rumput rawa gambut pamah;Vegetasi savana rawa gambut;2.552203
Vegetasi terna danau gambut pegunungan;Vegetasi savana tepian danau;3.950469
Vegetasi hutan savana sekitar danau;Vegetasi savana rawa air tawar;3.465632
Vegetasi terna rawa air payau;Vegetasi terna rawa air payau;1.857797
Vegetasi terna rawa air payau pada bentang alam karst;Vegetasi terna rawa air payau;1.857797
Vegetasi terna rawa payau monsun;Vegetasi terna rawa air payau monsun;1.755678
Vegetasi terna rawa air payau monsun pada bentang alam karst;Vegetasi terna rawa air payau monsun;1.755678
Vegetasi terna rawa air tawar;Vegetasi terna rawa air tawar;3.425704
Vegetasi terna rawa air tawar monsun;Vegetasi terna rawa air tawar monsun;3.369153
Vegetasi terna rawa air tawar monsun pada bentang alam karst;Vegetasi terna rawa air tawar monsun;3.369153
Vegetasi terna rawa monsun;Vegetasi terna rawa air tawar monsun;3.369153
Vegetasi terna rawa gambut;Vegetasi terna rawa gambut;2.593051
Vegetasi terna savana rawa gambut;Vegetasi terna savana rawa gambut;2.409237
Vegetasi terna tepian danau;Vegetasi terna tepian danau;3.001525
Vegetasi terna tepian danau pegunungan;Vegetasi terna tepian danau;3.001525
Vegetasi terna tepian sungai payau;Vegetasi terna tepian sungai air payau;3.47704
Vegetasi terna tepian sungai;Vegetasi terna tepian sungai air tawar;3.08322
